LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID3063,3063,27,-1.0,809.5483633879064,713.5345496651801,0.0,0.0,0,5.0,1,,37.89922480620155,37.0,0.0,94.0,4889.0,24.624316285318052,0.42478940288738065,0.9177388979844338,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3095,3095,27,-1.0,926.8374334599499,613.8865134450124,0.0,262366.0985107422,626,5.0,1,,45.565891472868216,38.0,0.0,226.0,5878.0,40.14657616185196,0.7392995986464153,0.9648669436382334,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3097,3097,27,-1.0,929.0471486939476,616.0962286790101,0.0,262785.21368408203,627,5.0,1,,30.2015503875969,13.0,0.0,138.0,3896.0,36.782167011712616,0.45888248639109586,0.5165389717786993,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3066,3066,27,-1.0,807.0864707283492,704.9179253567303,0.0,44426.20837402344,106,5.0,1,,79.55038759689923,84.0,0.0,201.0,10262.0,48.40502318334166,0.7432680402380344,1.4014033586565742,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3099,3099,27,-1.0,932.3617215449443,603.9427948920222,0.0,262785.21368408203,627,5.0,1,,4.976744186046512,0.0,0.0,44.0,642.0,7.743409613462306,-0.5883394214732275,-1.8370955668929634,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3068,3068,27,-1.0,803.3936317390137,688.9156230696092,0.0,44845.32354736328,107,5.0,1,,45.395348837209305,13.0,0.0,255.0,5856.0,66.03637948659568,0.7603215795002664,0.5938317345417071,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3070,3070,27,-1.0,804.6245780687923,708.6107643460659,0.0,44845.32354736328,107,5.0,1,,49.6124031007752,25.0,0.0,255.0,6400.0,58.17072261852383,0.8089628758179761,0.7628071201666219,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3103,3103,27,-1.0,702.5513372091739,442.6335828101832,0.0,250630.87365722656,598,5.0,1,,66.87596899224806,54.0,0.0,255.0,8627.0,53.18379213749271,0.7325879359609186,1.063372095306853,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3136,3136,28,-1.0,1022.9600461388541,853.6406163337731,0.0,261946.98333740234,625,5.0,1,,45.37984496124031,41.0,0.0,137.0,5854.0,34.161426025574166,0.46093171313196746,0.8382309359316389,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3138,3138,28,-1.0,1031.7989070748454,845.9066130147808,0.0,261946.98333740234,625,5.0,1,,42.93798449612403,32.0,0.0,171.0,5539.0,38.14092944634422,0.6075011326877079,0.8508954137729655,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
