LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2440 ? ID2442,15,2440,2442,-1.0,0.00456059023580929,0.002636167066428369,1.1048576169989133,320413.55001831055,1408.2791400672195,449.815157320676,0.0,
ID2407 ? ID2411,15,2407,2411,-1.0,0.003537541254019347,0.021253458357121086,8.907646883415955,64753.29428100586,910.5407836092163,275.80008264334975,0.0,
ID2433 ? ID2437,15,2433,2437,-1.0,3.4006051198089746E-5,0.006545690635865702,326.46439359210166,190906.96145629883,1030.4178350535967,166.97160736895833,0.0,
ID2429 ? ID2431,15,2429,2431,-1.0,0.006324382960845923,0.016035178255276394,6.720586513995459,165760.0510559082,1062.4587059465646,326.07110421679954,0.0,
ID2419 ? ID2423,15,2419,2423,-1.0,7.833811194894878E-6,0.001527089763892895,247.6902520554956,261318.31057739258,956.9448035231699,415.56457119371026,0.0,
ID2444 ? ID2447,15,2444,2447,-1.0,3.076635294070828E-5,0.0018764192083469786,40.89465961175693,331520.1021118164,1437.5578669176903,437.6617235336882,0.0,
ID2415 ? ID2419,15,2415,2419,-1.0,0.006011132533467057,0.013441867312808555,5.6336905488189375,180009.9669494629,1080.6888566270463,431.03257783169477,0.0,
ID2442 ? ID2450,15,2442,2450,-1.0,5.662669218718872E-5,0.007519531742537146,163.8805921848115,331520.1021118164,1330.9391068772966,422.1937168957036,0.0,
ID2429 ? ID2433,15,2429,2433,-1.0,0.0011159132372847767,0.018640516090121344,7.812523132255353,165760.0510559082,1069.6402804570575,324.9662465998007,0.0,
ID2440 ? ID2444,15,2440,2444,-1.0,8.127031949332953E-4,0.03163400479713989,13.258291403986732,320413.55001831055,1414.9082857692129,450.3675861291755,0.0,
ID2409 ? ID2429,15,2409,2429,-1.0,2.807393249416153E-5,0.0017159008783399067,172.59842257426084,115256.67266845703,984.0138151396429,297.8972349833277,0.0,
ID2528 ? ID2530,16,2528,2530,-1.0,3.8357652228324264E-4,0.01318083533214171,5.5242880849945095,242039.01260375977,749.7840003358767,225.5290610698999,0.0,
ID2460 ? ID2463,16,2460,2463,-1.0,3.293418370834648E-5,0.002471910211120646,222.74324147208725,46731.34182739258,640.403096252986,635.9836657849903,0.0,
ID2494 ? ID2498,16,2494,2498,-1.0,0.005197626809452895,0.01318083533214171,5.5242880849945095,300715.1368713379,327.17596183379845,919.9320733537069,0.0,
ID2463 ? ID2467,16,2463,2467,-1.0,0.0026274314966081708,0.023578595042319538,9.882146948271734,91995.7805480957,576.3213544670498,542.070768340084,0.0,
ID2465 ? ID2485,16,2465,2485,-1.0,2.1324558050867883E-6,0.0019084088774287899,235.95371965272486,154024.82620239258,506.7153245961192,651.4516724229749,0.0,
ID2475 ? ID2479,16,2475,2479,-1.0,5.073037016023493E-5,8.386619584144257E-4,47.8034494821177,313917.26483154297,763.0422917398635,809.4463116538172,0.0,
ID2539 ? ID2543,16,2539,2543,-1.0,6.98837507496784E-4,0.014196194111856934,5.949840355956988,338016.387298584,765.2520069738612,394.5722764707312,0.0,
ID2498 ? ID2502,16,2498,2502,-1.0,1.105784926431705E-5,0.0024650637002808255,102.28141440365853,321670.8955383301,375.7896969817499,897.2824922052295,0.0,
ID2509 ? ID2517,16,2509,2517,-1.0,8.391088794973167E-5,2.4224583947588777E-4,7.411610211203865,327119.39279174805,387.39070196023835,760.2801476973661,0.0,
ID2456 ? ID2460,16,2456,2460,-1.0,0.0015353801287253193,0.011789297521160196,4.941073474136045,1466.9031066894531,705.5896956559208,723.2674175279031,0.0,
ID2467 ? ID2471,16,2467,2471,-1.0,1.0854452751016783E-5,0.0017531559140036295,337.99615260312555,188601.8280029297,671.8915383374544,678.5206840394478,0.0,
ID2511 ? ID2514,16,2511,2514,-1.0,8.687407406663402E-5,0.0012613336595041933,38.591017500001,327119.39279174805,380.761556258245,759.7277188888668,0.0,
ID2489 ? ID2494,16,2489,2494,-1.0,3.3932821105184272E-6,0.0024121382471178456,203.203711651653,258384.50436401367,382.4188426837433,836.5153232702901,0.0,
ID2471 ? ID2473,16,2471,2473,-1.0,0.0027292785931405847,0.02486955036563394,10.423205912376643,285207.8754577637,762.4898629313641,823.8094606748027,0.0,
ID2485 ? ID2489,16,2485,2489,-1.0,6.290744625006272E-4,0.008336292222637915,3.493866559902481,216053.87185668945,440.97629638468493,751.4412867613751,0.0,
ID2543 ? ID2547,16,2543,2547,-1.0,6.804206445099995E-4,0.002911741695032039,12.203551252342034,340321.5207519531,765.8044357823608,391.2577036197345,0.0,
ID2522 ? ID2553,16,2522,2553,-1.0,1.6180180226321783E-6,0.0018919047572002069,347.3015837323206,250630.87365722656,679.6255416564467,322.75653136580286,0.0,
ID2463 ? ID2465,16,2463,2465,-1.0,0.005206905976856411,0.016672584445276174,6.987733119805106,91995.7805480957,573.0067816160531,549.8047716590763,0.0,
ID2530 ? ID2539,16,2530,2539,-1.0,9.1685401618027E-7,0.001717784836470052,164.14852920547582,290027.6999511719,756.9655748463695,310.05066877031555,0.0,
ID2485 ? ID2487,16,2485,2487,-1.0,0.004920475823972974,0.038922540293028995,16.3130272217399,216053.87185668945,437.6617235336882,742.6024258253839,0.0,
ID2541 ? ID2550,16,2541,2550,-1.0,2.9670840488976647E-5,0.004250691671424262,17.815293766832095,340321.5207519531,763.0422917398635,376.3421257902494,0.0,
ID2520 ? ID2522,16,2520,2522,-1.0,0.0062054336777624276,0.032178519908722884,13.486505949364004,158635.09310913086,737.0781377403894,152.05602953947323,0.0,
ID2458 ? ID2520,16,2458,2520,-1.0,3.4039903067131913E-6,0.0036318428428974937,569.2880055488762,80050.99810791016,721.0577022939053,430.48014902319534,0.0,
ID2487 ? ID2507,16,2487,2507,-1.0,1.664880920592957E-5,4.7825552609333515E-4,45.50082153229162,263833.00161743164,413.90728476821187,746.46942748488,0.0,
ID2507 ? ID2511,16,2507,2511,-1.0,0.006567731135753409,0.016879705236969463,7.074540586317926,311612.1313781738,396.22956289622954,754.7558596123718,0.0,
ID2532 ? ID2536,16,2532,2536,-1.0,2.1489566109531767E-5,0.001967083199203909,197.03982542596952,292332.833404541,667.4721078694588,271.38065217535416,0.0,
ID2507 ? ID2509,16,2507,2509,-1.0,9.459005744394451E-4,0.023871508074982478,10.004911244729762,311612.1313781738,389.04798838573674,758.0704324633684,0.0,
ID2494 ? ID2496,16,2494,2496,-1.0,1.6017794651482903E-4,0.01687970523696925,7.074540586317837,300715.1368713379,322.20410255730343,922.6942173962041,0.0,
ID2520 ? ID2524,16,2520,2524,-1.0,0.0017767566337271315,0.01687970523696941,7.074540586317903,158635.09310913086,738.7354241658877,143.76959741198152,0.0,
ID2496 ? ID2504,16,2496,2504,-1.0,6.214218950625731E-6,0.006115681377563438,253.75431120422675,321670.8955383301,268.61850813285696,1041.4664112235855,0.0,
