LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2179,2179,3,-1.0,1009.149325926368,915.5126428857112,0.0,50293.758544921875,120,5.0,1,,55.58914728682171,25.0,0.0,255.0,7171.0,62.06292326178689,0.8107904817678251,0.802099450561565
ID2308,2308,3,-1.0,916.8937149069599,931.809292736445,0.0,296314.06076049805,707,5.0,1,,33.02325581395349,30.0,0.0,118.0,4260.0,23.02663712837505,0.6168957612207878,1.094332081074721
ID2182,2182,3,-1.0,1056.6582034573203,894.5203481627323,0.0,58256.93698120117,139,5.0,1,,42.52713178294574,40.0,0.0,142.0,5486.0,38.31858180100499,0.4865478309154322,0.72649614592421
ID2310,2310,3,-1.0,900.3208506519765,927.9422910769488,0.0,300924.3219604492,718,5.0,1,,7.604651162790698,3.0,0.0,47.0,981.0,10.074269983362289,-0.15670203499338126,-0.280536446383368
ID2184,2184,3,-1.0,1039.5329103938375,983.4613863311436,0.0,148785.70236206055,355,5.0,1,,69.50387596899225,59.0,0.0,255.0,8966.0,55.54715395935686,0.6650044030148923,0.999508155835021
ID2312,2312,3,-1.0,907.5024251624691,927.9422910769488,0.0,306791.92712402344,732,5.0,1,,24.92248062015504,24.0,0.0,60.0,3215.0,15.432115661776566,0.523238766202305,1.1095010613269547
ID2186,2186,3,-1.0,1044.5047696703325,982.9089575226438,0.0,149204.81701660156,356,5.0,1,,60.604651162790695,52.0,0.0,215.0,7818.0,49.43136317863057,0.48682562359119635,0.8028728203971173
ID2314,2314,3,-1.0,904.7402811199721,915.788857289961,0.0,324394.7426147461,774,5.0,1,,20.015503875968992,17.0,0.0,83.0,2582.0,18.09652267016893,0.4748099581330627,0.7121724176736878
ID2188,2188,3,-1.0,1042.2950544363348,971.8603813526552,0.0,149623.93167114258,357,5.0,1,,41.224806201550386,22.0,0.0,191.0,5318.0,46.71944862522418,0.1354230577586733,0.2104872605331328
ID2316,2316,3,-1.0,887.0625592479896,955.0113026934218,0.0,342416.67276000977,817,5.0,1,,11.279069767441861,4.0,0.0,69.0,1455.0,15.54427986842449,-0.03085830899761645,-0.04620803692225694
ID2190,2190,3,-1.0,1042.2950544363348,982.3565287141446,0.0,149623.93167114258,357,5.0,1,,46.58914728682171,33.0,0.0,221.0,6010.0,49.228836252733515,0.20720897831494195,0.32487874634823577
ID2193,2193,3,-1.0,1053.8960594148232,954.1826594806727,0.0,157167.99545288086,375,5.0,1,,37.68217054263566,33.0,0.0,117.0,4861.0,31.44339768142015,0.5887975333571804,0.8882472324125161
