,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours
119,27,3066,True,3066,807.0864707283492,704.9179253567303,106.0,[],2,Example,siHAUS6,1,,,,['3074' '3103'],2,,,
120,27,3074,True,3066.3074,911.7169087595254,723.3821203034083,536.0,[],2,Example,siHAUS6,2,3066,,3103,['3082' '3095'],2,2.0,3010.0,50.166666666666664
121,27,3082,True,3066.3074.3082,930.1811037062035,916.6406940786396,802.0,[],2,Example,siHAUS6,3,3074,3066,3095,[],0,2.0,1862.0,31.033333333333335
122,27,3095,True,3066.3074.3095,926.8374334599499,613.8865134450124,626.0,"['3097', '3099']",2,Example,siHAUS6,3,3074,3066,3082,[],0,2.0,630.0,10.5
123,27,3103,True,3066.3103,702.5513372091739,442.6335828101832,598.0,[],2,Example,siHAUS6,2,3066,,3074,[],0,2.0,3444.0,57.4
124,28,3119,True,3119,879.3285559289973,643.7176691039825,162.0,[],2,Example,siHAUS6,1,,,,['3126'],1,,,
125,28,3126,True,3119.3126,626.31616163625,1112.177298711515,403.0,[],2,Example,siHAUS6,2,3119,,,['3134'],1,1.0,1687.0,28.116666666666667
126,28,3134,True,3119.3126.3134,1032.9037646918441,847.0114706317796,624.0,[],2,Example,siHAUS6,3,3126,3119,,[],0,1.0,1547.0,25.783333333333335
127,30,3153,True,3153,1220.7295595816568,823.8094606748027,151.0,[],2,Example,siHAUS6,1,,,,['3161' '3180'],2,,,
128,30,3161,True,3153.3161,1271.553009963606,777.405440760849,475.0,[],2,Example,siHAUS6,2,3153,,3180,['3169'],1,2.0,2268.0,37.8
129,30,3169,True,3153.3161.3169,1395.2970630674824,732.1062784638943,816.0,[],2,Example,siHAUS6,3,3161,3153,,[],0,1.0,2387.0,39.78333333333333
130,30,3180,True,3153.3180,1125.7118045197515,725.477132761901,501.0,[],2,Example,siHAUS6,2,3153,,3161,['3190'],1,2.0,2450.0,40.833333333333336
131,30,3190,True,3153.3180.3190,961.088019586916,529.9173345530961,756.0,[],2,Example,siHAUS6,3,3180,3153,,[],0,1.0,1785.0,29.75
132,31,3207,True,3207,721.3339166981551,725.477132761901,211.0,[],2,Example,siHAUS6,1,,,,['3215' '3228'],2,,,
133,31,3215,True,3207.3215,710.2853405281661,641.5079538699847,383.0,[],2,Example,siHAUS6,2,3207,,3228,[],0,2.0,1204.0,20.066666666666666
134,31,3228,True,3207.3228,750.0602147401264,694.5411194859317,435.0,[],2,Example,siHAUS6,2,3207,,3215,['3235'],1,2.0,1568.0,26.133333333333333
135,31,3235,True,3207.3228.3235,666.0910358482103,805.0268811858215,705.0,[],2,Example,siHAUS6,3,3228,3207,,[],0,1.0,1890.0,31.5
136,32,3252,True,3252,753.3747875911231,964.1263780336627,36.0,[],2,Example,siHAUS6,1,,,,['3259' '3289'],2,,,
137,32,3259,True,3252.3259,800.8836651220756,845.9066130147808,252.0,[],2,Example,siHAUS6,2,3252,,3289,['3266' '3279'],2,2.0,1512.0,25.2
138,32,3266,True,3252.3259.3266,595.3801483602808,479.0938841711468,499.0,[],2,Example,siHAUS6,3,3259,3252,3279,[],0,2.0,1729.0,28.816666666666666
139,32,3279,True,3252.3259.3279,697.0270491241793,812.7608845048138,634.0,['3281'],2,Example,siHAUS6,3,3259,3252,3266,[],0,2.0,2674.0,44.56666666666667
140,32,3289,True,3252.3289,425.2320753424506,940.9243680766859,301.0,['3304'],2,Example,siHAUS6,2,3252,,3259,['3296'],1,2.0,1855.0,30.916666666666668
141,32,3296,True,3252.3289.3296,698.1319067411782,731.0014208468954,801.0,"['3298', '3300']",2,Example,siHAUS6,3,3289,3252,,[],0,1.0,3500.0,58.333333333333336
142,33,3309,True,3309,864.9654069080118,619.4108015300068,24.0,[],2,Example,siHAUS6,1,,,,['3318' '3345'],2,,,
143,33,3318,True,3309.3318,818.561386994058,918.8272157367079,196.0,[],2,Example,siHAUS6,2,3309,,3345,['3324' '3336'],2,2.0,1204.0,20.066666666666666
144,33,3324,True,3309.3318.3324,773.2622246971032,1092.289861605535,483.0,[],2,Example,siHAUS6,3,3318,3309,3336,[],0,2.0,2009.0,33.483333333333334
145,33,3336,True,3309.3318.3336,495.94296283038,1144.218169604483,545.0,"['3338', '3340']",2,Example,siHAUS6,3,3318,3309,3324,[],0,2.0,2443.0,40.71666666666667
146,33,3345,True,3309.3345,1016.3309004368606,588.4747882540377,223.0,['3352'],2,Example,siHAUS6,2,3309,,3318,['3354'],1,2.0,1393.0,23.216666666666665
147,33,3354,True,3309.3345.3354,998.6531785648782,458.10158944816783,538.0,[],2,Example,siHAUS6,3,3345,3309,,[],0,1.0,2205.0,36.75
148,34,3369,True,3369,1080.4126422227966,679.0731128479473,205.0,[],2,Example,siHAUS6,1,,,,['3377' '3397'],2,,,
149,34,3377,True,3369.3377,1022.9600461388541,729.8965632298965,374.0,[],2,Example,siHAUS6,2,3369,,3397,['3384'],1,2.0,1183.0,19.716666666666665
150,34,3384,True,3369.3377.3384,1250.560715240627,847.0114706317796,654.0,[],2,Example,siHAUS6,3,3377,3369,,[],0,1.0,1960.0,32.666666666666664
151,34,3397,True,3369.3397,1145.5992416257316,676.8633976139495,379.0,[],2,Example,siHAUS6,2,3369,,3377,['3404' '3418'],2,2.0,1218.0,20.3
152,34,3404,True,3369.3397.3404,1535.6139804263423,654.7662452739714,714.0,[],2,Example,siHAUS6,3,3397,3369,3418,[],0,2.0,2345.0,39.083333333333336
153,34,3418,True,3369.3397.3418,1369.885337876508,523.2881888511027,627.0,[],2,Example,siHAUS6,3,3397,3369,3404,[],0,2.0,1736.0,28.933333333333334
